day,category,item_name,specification,price
December 4,CORN PRODUCTS,Corn Grits (Feed Grade),n/a,47.5
December 4,CORN PRODUCTS,"Corn Grits (White, Food Grade)",n/a,120.0
December 4,CORN PRODUCTS,"Corn Grits (Yellow, Food Grade)",n/a,120.0
December 4,FISH PRODUCTS,Alumahan (Indian Mackerel),Medium (4-6 pcs/kg),350.0
December 4,FISH PRODUCTS,"Bangus, Large",Large (1-2 pcs),268.45
December 4,FISH PRODUCTS,"Bangus, Medium",Medium (3-4 pcs/kg),238.85
December 4,FISH PRODUCTS,"Galunggong, Imported","Male, Medium (12-14 pcs/kg)",318.8
December 4,FISH PRODUCTS,"Galunggong, Local","Male, Medium (12-14 pcs/kg)",354.24
December 4,FISH PRODUCTS,"Pampano, Imported",n/a,409.77
December 4,FISH PRODUCTS,"Pampano, Local",n/a,505.0
December 4,FISH PRODUCTS,"Salmon Belly, Imported",n/a,428.04
December 4,FISH PRODUCTS,"Salmon Head, Imported",n/a,225.84
December 4,FISH PRODUCTS,Sardines (Tamban),n/a,152.73
December 4,FISH PRODUCTS,Sen el (Rl Flnslun).,"Medium, Fresh or Chilled",296.13
December 4,FISH PRODUCTS,"Squid (Pusit Bisaya), Local",Medium,457.66
December 4,FISH PRODUCTS,"Squid, Imported",n/a,227.5
December 4,FISH PRODUCTS,"T:::i:gl (Yellow-Fin Tuna),","Medium, Frozen",286.67
December 4,FISH PRODUCTS,Tilapia,Medium (5-6 pcs/kg),153.44
December 4,FRUITS,Avocado,n/a,408.8
December 4,FRUITS,Banana (Lakatan),8-10 pcs/kg,97.69
December 4,FRUITS,Banana (Latundan),10-12 pes/kg,76.22
December 4,FRUITS,Banana (Saba),n/a,53.38
December 4,FRUITS,Calamansi,n/a,109.29
December 4,FRUITS,Mango (Carabao),"Ripe, 3-4 pcs/kg",213.93
December 4,FRUITS,Melon,n/a,107.03
December 4,FRUITS,Papaya,"Solo, Ripe, 2-3 pcs/kg",70.65
December 4,FRUITS,Pomelo,n/a,182.5
December 4,FRUITS,Watermelon,n/a,78.79
December 4,HIGHLAND VEGETABLES,"Bell Pepper (Green), Local",Medium (151-250gm/pc),275.68
December 4,HIGHLAND VEGETABLES,"Bell Pepper (Red), Local",Medium (151-250gm/pc),259.21
December 4,HIGHLAND VEGETABLES,"Broccoli, Imported",n/a,406.59
December 4,HIGHLAND VEGETABLES,"Broccoli, Local","ﬁﬁf?ﬁ’;fﬁig&""ﬁ. i",347.14
December 4,HIGHLAND VEGETABLES,Cabbage (Rare Ball),510 gm - 1 kg/head,84.1
December 4,HIGHLAND VEGETABLES,Cabbage (Scorpio),750 gm - 1 kg/head,82.86
December 4,HIGHLAND VEGETABLES,Cabbage (Wonder Ball),510 gm - 1 kg/head,81.35
December 4,HIGHLAND VEGETABLES,"Cabbage, Imported",n/a,125.0
December 4,HIGHLAND VEGETABLES,"Carrots, Imported",n/a,120.0
December 4,HIGHLAND VEGETABLES,"Carrots, Local",8-10 pcs/kg,129.12
December 4,HIGHLAND VEGETABLES,"Cauliflower, Imported",n/a,286.67
December 4,HIGHLAND VEGETABLES,"Cauliflower, Local",m:?r::?;r(/%::ciﬂx 4),291.41
December 4,HIGHLAND VEGETABLES,Celery,Medium (501-800 g),180.21
December 4,HIGHLAND VEGETABLES,Chayote,Medium (301-400 g),116.62
December 4,HIGHLAND VEGETABLES,"Chilli (Red), Local",Tingala,611.39
December 4,HIGHLAND VEGETABLES,"Garlic, Imported",n/a,154.38
December 4,HIGHLAND VEGETABLES,"Garlic, Native/Local",n/a,400.0
December 4,HIGHLAND VEGETABLES,"Ginger, Imported","E‘f ;‘g’_’;gg""g':; uiked, Medtiti",176.67
December 4,HIGHLAND VEGETABLES,"Ginger, Local","'(:f;g’_’a,""(‘)';';:]amred' Medium",182.32
December 4,HIGHLAND VEGETABLES,"Habichuelas/Baguio Beans, Local",n/a,334.96
December 4,HIGHLAND VEGETABLES,Lettuce (Green Ice),n/a,333.68
December 4,HIGHLAND VEGETABLES,Lettuce (Iceberg),(l\idx:ir::::r(/i(:}r;:hs g;]m,356.49
December 4,HIGHLAND VEGETABLES,Lettuce (Romaine),n/a,313.13
December 4,HIGHLAND VEGETABLES,Pechay Baguio,n/a,86.29
December 4,HIGHLAND VEGETABLES,"Red Onion, Imported",Large,138.72
December 4,HIGHLAND VEGETABLES,"Red Onion, Imported",Medium,226.44
December 4,HIGHLAND VEGETABLES,"Red Onion, Local",13-15 pes/kg,278.24
December 4,HIGHLAND VEGETABLES,"White Onion, Imported",Large,125.1
December 4,HIGHLAND VEGETABLES,"White Onion, Imported",Medium,137.81
December 4,HIGHLAND VEGETABLES,"White Potato, Local",10-12 pes/kg,153.72
December 4,IMPORTED COMMERCIAL RICE,Basmati Rice,n/a,211.0
December 4,IMPORTED COMMERCIAL RICE,Glutinous Rice,n/a,61.16
December 4,IMPORTED COMMERCIAL RICE,Jasponica/Japonica Rice,n/a,60.43
December 4,IMPORTED COMMERCIAL RICE,Other Special Rice,White Rice,58.96
December 4,IMPORTED COMMERCIAL RICE,Premium,5% broken,50.23
December 4,IMPORTED COMMERCIAL RICE,Regular Milled,20-40% bran streak,38.81
December 4,IMPORTED COMMERCIAL RICE,Well Milled,1-19% bran streak,45.33
December 4,LOCAL COMMERCIAL RICE,Glutinous Rice,n/a,70.37
December 4,LOCAL COMMERCIAL RICE,Other Special Rice,White Rice,57.17
December 4,LOCAL COMMERCIAL RICE,Premium,5% broken,49.84
December 4,LOCAL COMMERCIAL RICE,Regular Milled,20-40% bran streak,3848.0
December 4,LOCAL COMMERCIAL RICE,Well Milled,1-19% bran streak,43.5
December 4,LOWLAND VEGETABLES,Ampalaya,4-5pcs/kg,22431.0
December 4,LOWLAND VEGETABLES,"Chilli (Green), Local",Haba/Panigang,332.4
December 4,LOWLAND VEGETABLES,Eggplant,3-4 Small Bundles,203.99
December 4,LOWLAND VEGETABLES,Native Pechay,3-4 Small Bundles,122.22
December 4,LOWLAND VEGETABLES,Pole Sitao,3-4 Small Bundles,151.96
December 4,LOWLAND VEGETABLES,Squash,Suprema Variety,57.54
December 4,LOWLAND VEGETABLES,Tomato,15-18 pes/kg,137.45
December 4,OTHER BASIC COMMODITIES,Cooking 0Oil (Palm),350 ml/bottle,35.79
December 4,OTHER BASIC COMMODITIES,Cooking 0Oil (Palm),1 Liter/bottle,91.02
December 4,OTHER BASIC COMMODITIES,Cooking Oil (Coconut),350 ml/bottle,59.28
December 4,OTHER BASIC COMMODITIES,Cooking Oil (Coconut),1 Liter/bottle,162.24
December 4,OTHER BASIC COMMODITIES,Cooking Oil (Minola),500 ml/bottle,90.0
December 4,OTHER BASIC COMMODITIES,Cooking Oil (Minola),"1,000 ml/bottle",140.0
December 4,OTHER BASIC COMMODITIES,Cooking Oil (Spring),500 ml/bottle,75.0
December 4,OTHER BASIC COMMODITIES,Cooking Oil (Spring),"1,000 ml/bottle",150.71
December 4,OTHER BASIC COMMODITIES,Salt (Iodized),n/a,39.0
December 4,OTHER BASIC COMMODITIES,Salt (Rock),n/a,21.24
December 4,OTHER BASIC COMMODITIES,Sugar (Brown),n/a,73.55
December 4,OTHER BASIC COMMODITIES,Sugar (Refined),n/a,81.65
December 4,OTHER BASIC COMMODITIES,Sugar (Washed),n/a,75.1
December 4,OTHER BASIC COMMODITIES,"g‘;::;’;g Oil (Palm Olein, Jolly","1,000 mi/bottle",14333.0
December 4,OTHER LIVESTOCK MEAT PRODUCTS,"Carabeef Forequarter, Local",n/a,330.0
December 4,OTHER LIVESTOCK MEAT PRODUCTS,"Carabeef Meat, Local",n/a,355.0
December 4,OTHER LIVESTOCK MEAT PRODUCTS,"Carabeef Rump Steak, Local",n/a,385.0
December 4,OTHER LIVESTOCK MEAT PRODUCTS,"Carabeef Trimmings, Local",n/a,350.0
December 4,PORK MEAT PRODUCTS,"Eg‘r;':IPicnic Shoulder (Kasim),",n/a,341.41
December 4,PORK MEAT PRODUCTS,"Pork Belly (Liempo), Imported",n/a,311.86
December 4,PORK MEAT PRODUCTS,"Pork Belly (Liempo), Local",n/a,394.3
December 4,PORK MEAT PRODUCTS,"Pork Boston Shoulder, Local",n/a,358.15
December 4,PORK MEAT PRODUCTS,"Pork Chop, Imported",n/a,254.69
December 4,PORK MEAT PRODUCTS,"Pork Chop, Local",n/a,343.5
December 4,PORK MEAT PRODUCTS,"Pork Fore Shank, Imported",n/a,191.43
December 4,PORK MEAT PRODUCTS,"Pork Fore Shank, Local",n/a,324.37
December 4,PORK MEAT PRODUCTS,"Pork Head, Imported",n/a,200.0
December 4,PORK MEAT PRODUCTS,"Pork Head, Local",n/a,251.71
December 4,PORK MEAT PRODUCTS,"Pork Hind Leg (Pigue), Imported",n/a,256.25
December 4,PORK MEAT PRODUCTS,"Pork Hind Leg (Pigue), Local",n/a,342.28
December 4,PORK MEAT PRODUCTS,"Pork Hind Shank, Imported",n/a,190.0
December 4,PORK MEAT PRODUCTS,"Pork Hind Shank, Local",n/a,324.92
December 4,PORK MEAT PRODUCTS,"Pork Loin, Imported",n/a,278.0
December 4,PORK MEAT PRODUCTS,"Pork Loin, Local",n/a,386.76
December 4,PORK MEAT PRODUCTS,"Pork Offals, Imported",n/a,139.41
December 4,PORK MEAT PRODUCTS,"Pork Offals, Local",n/a,252.99
December 4,PORK MEAT PRODUCTS,"Pork Rind/Skin, Local",n/a,111.43
December 4,PORK MEAT PRODUCTS,"Pork Spare Ribs, Imported",n/a,237.5
December 4,PORK MEAT PRODUCTS,"Pork Spare Ribs, Local",n/a,334.96
December 4,PORK MEAT PRODUCTS,"r;;l;rtx::w Shoulder (Kasim),",n/a,256.35
December 4,POULTRY PRODUCTS,"Chicken Breast, Local","Unbranded, Fresh",209.55
December 4,POULTRY PRODUCTS,"Chicken Breast, Local",Magnolia,221.7
December 4,POULTRY PRODUCTS,"Chicken Breast, Local",Bounty Fresh,235.0
December 4,POULTRY PRODUCTS,"Chicken Drumstick, Local","Unbranded, Fresh",217.02
December 4,POULTRY PRODUCTS,"Chicken Drumstick, Local",Magnolia,227.5
December 4,POULTRY PRODUCTS,"Chicken Drumstick, Local",Bounty Fresh,236.0
December 4,POULTRY PRODUCTS,"Chicken Egg (White, Medium)",56-60 grams/pc,8.25
December 4,POULTRY PRODUCTS,"Chicken Feet, Local",n/a,149.1
December 4,POULTRY PRODUCTS,Chicken Leg Quarter,"Unbranded, Fresh",210.54
December 4,POULTRY PRODUCTS,Chicken Leg Quarter,Magnolia,224.42
December 4,POULTRY PRODUCTS,Chicken Leg Quarter,Bounty Fresh,235.0
December 4,POULTRY PRODUCTS,"Chicken Leg Quarter, Imported",n/a,165.0
December 4,POULTRY PRODUCTS,"Chicken Liver, Local",n/a,237.4
December 4,POULTRY PRODUCTS,"Chicken Neck, Local",n/a,146.41
December 4,POULTRY PRODUCTS,"Chicken Rind/Skin, Local",n/a,147.73
December 4,POULTRY PRODUCTS,"Chicken Thigh, Local",n/a,217.88
December 4,POULTRY PRODUCTS,"Chicken Wing, Local",Magnolia,228.17
December 4,POULTRY PRODUCTS,"Chicken Wing, Local",Bounty Fresh,232.5
December 4,POULTRY PRODUCTS,"Chicken Wing, Local","Unbranded, Fresh",21891.0
December 4,POULTRY PRODUCTS,"Whole Chicken, Local",Fully Dressed,201.74
December 4,POULTRY PRODUCTS,"Whole Chicken, Local",Magnolia,214.4
December 4,POULTRY PRODUCTS,"Whole Chicken, Local",Bounty Fresh,217.5
